prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
달빛 노래,달빛 노래,"봄볕이 따사로운 햇살로 가득하다.
화려한 밤하늘에 비치는 환희를.
봄빛은 피어나는 꽃처럼
가을의 향기를 물씬 풍기며
마음의 문을 열어주는 향기롭다
꽃잎들은 눈물이 말라붙은 채..
시냇물 건너듯
그저 흘러가는 계절을 보내고 싶어 하는
달빛이 주는
슬픔과 외로움이
가슴으로 퍼지는 그윽한 향기로
밤새도록 가슴앓이를 했다.
사랑하는 그대여, 당신이여
아름다운 꽃을 심으시고
당신의 꽃잎들 속에",0.8906524181365967,0.8848212957382202,0.10934758186340332,유월의 장미,피어오르는 꽃잎 숨죽이는 시선 그토록 아름다운 자태 황홀하네. 그윽한 향기 바람결에 속삭임 시간도 잠시 멈춘 듯 세상은 온통 고요하기만 하고 모든 것을 잊게 하는 따스한 품 가시 속에 숨겨진 장미의 마음 삶의 고통조…
별빛 노래,별빛 노래,"눈꽃처럼 하얀 꽃잎을 물들여서
아름다움 가득한 꽃밭에
봄의 시작과 함께 피어오르는 별빛의 향연
내 가슴에 다시 꿈이 찾아오면
별들이 되어 별을 향하여 달려갈 때마다
순수한 아름다움으로 빛나는 추억들은
그대로 오래도록 기억되네.
눈물의 여정에는 늘 아름다움이 담겨있고,
모든 것이 고운 날이면
그리움의 시간 속에 홀로 서있는
나뭇잎들의 마음 한구석에
천년의 세월이 고요하고 아름다운
꿈은 언제나 그리운 곳이 있으리라.
하나같이 푸르른 봄",0.8889905214309692,0.885288417339325,0.11100947856903076,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
가을 노래,가을 노래,"여름날의 길 위에서
내 마음의 창문을 활짝 열어준 그 밤은
시냇물 흐르는 소리로 들리니
나는 겨울날 한없이 그리워진다.
가을이 오는 이 시간도
마음을 맑게 하고 싶은 것
가끔씩 내가 부르는 노래는
가을을 부르고 싶었던 나의 눈물이 된다.
고운 마음이 함께하는 아름다운 계절
어쩌면 내 마음 속에 또 다른 사랑이 담겨 있는 것일지도 모른다. 이것은 내게 있어 가장 소중한 순간일 뿐이다..
무엇보다도 나는 사랑하는 사람이 아니라 사랑하고 아끼는 사람이라는 사실을 잊지 말아야 할 것이다.).
사랑이란 무엇인가
언제나 나를 떠나",0.8723435401916504,0.8506637811660767,0.1276564598083496,가을 사랑,우리는 인적이 드문 공원에서 흥겨운 감정으로 낙엽을 밟으며 바스락거리는 소리를 들으며 정답게 거닐면서 그대와 맺은 인연은 우리의 아름다운 가을 사랑이 시작 됐지요. 가을 향기 같고 낙엽의 속삭임 같은 당신 마음은 보…
다시 이슬,다시 이슬,"어느덧 새 봄을 맞는다
그날도 오늘처럼 또 다른 기분 내면서
더욱 더워지고 싶은 계절이구나
세상의 모든 일들이
그리움으로 채워진 듯하구나
한 여름 밤의 추억들은
새벽의 꿈은 이미 한 송이 꽃잎에 맺혀가고 있구나.
아픔과 슬픔의 노래 속에서
지난 겨울, 그리고 그 햇살이
고요하고 아름답게 빛나는 기억들
떠오르는 사랑의 빛바랜 사진첩 속
마음이 그리움과 함께 너를 향하도록
사랑하는 당신을 기다리겠다.
그래서 우리는 이",0.8688445687294006,0.8650578260421753,0.13115543127059937,아름다움의 시작에는 언제나 꺼내어본 별빛의 눈물이 있고,초록색의 나뭇잎 손수건에 자수처럼 새긴 마음을 여는 비밀 이어서 꿈이 가져온 메마른 언덕에도 어제의 소낙비는 나비들의 고요함으로 내리고 마음에 샘물이 동하도록 그리움을 길어낸 순수를 기다리는 기초마다 보라색의 나무를…
푸른 파도,푸른 파도,"내 마음은
너를 사랑하고 있다
푸른 잎들의 눈물과
그렇게 날 수 있는 이유들
가을이 온다
푸른 물결을 타고
그리움의 깊이를 알자
봄바람에 부서지는 물결들이
빛나는 새들의 합창으로
내 마음속에 깊이 간직된다.
아름다운 우리 모습
우리들에게 사랑을 가르쳐 준다
꽃처럼 피어나는 아름다운 꽃들은
나의 삶을 더욱 빛나게 한다.
사랑은 늘 나를 사랑하는 것이다
푸른 파도 속에 피어있는
노란 단풍잎 향기 그윽한 숨결 현대자동차 울산공장 비정규직 노조원들에 대한 조합원의 무차별적인 집단",0.8682776093482971,0.8637588620185852,0.13172239065170288,메밀꽃,향기로운 바람이 지나가면 지난날의 그리움 새록새록 피어나네. 아주 긴 시간이 흘렀어도 여전히 선명한 그리움 그리운 사람 미소 닮은 고운 꽃잎 하나하나가 반짝이고 밤하늘 별빛처럼 빛나며 고요한 마음에 은은히 파고드네.…
당신의 봄,당신의 봄,"저 꽃은 달콤하니 좋습니다!
정성껏 따스한 햇볕을 피워내며
나뭇잎마다 향기가 가득하네요
꽃잎이 바람에 흔들리고 있어요!
꽃이 지고 나면 그늘진 숲속에 숨쉬고 있는
별들의 노래처럼
가을이 오면
달빛이 쏟아지는군요!
봄날은 언제나 싱그럽게 아름답습니다. 그것을 보고 싶습니다.
당신의 봄이 오기를 기대합니다~!""
저 멀리 찻집 하나가 있다
나는 내 방문을 열고
꽃을 바라보며 웃어봅니다.
여기 당신이 있답니다..",0.8661198616027832,0.8514131307601929,0.1338801383972168,어느 봄날,내게 하고 싶은 말이 있거든 돋아나는 봄 잎 하나하나에 편지를 써놓으세요 그대여 어느 봄날 내가 보고 싶거든 봄꽃을 화사한 미소로 바라보아 주세요 어느 봄날 꽃향기 가득하고 섬진강 물결 매화 향에 취한 달밤이면 내가…
아름다운 언젠가,아름다운 언젠가,"봄기운 가득 차오르고
한낮의 햇살 따라 물들고
푸른 하늘엔 하얀 꽃잎들이 반짝이며
어느새 가을이 찾아오고 있네.
그렇게 그리움의 시간이 오는 날이면
아름다운 푸른 계절과 함께하고 싶어
고요한 달빛 아래 앉아서
봄날의 정취를 만끽할 수 있겠지?
그리고 오늘은 벚꽃잎이 피어나는 첫 날일 테니
사랑하는 나의 영혼들이여!! 
#가을나들길 #단풍잎 #나무목숨 #꿈꾸며
꽃",0.8649905323982239,0.8576967120170593,0.13500946760177612,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
노을 하늘,노을 하늘,"아찔한 밤하늘의 그림자들처럼
어둠은 어둠보다 더 밝음
마음의 정령들이 보낸 아침이여.
아름다운 달빛이 내 눈앞에 와 있는 듯
눈부시게 빛나고 있다.
서둘러 그늘진 숲길을 걸어가는 발걸음은
시원스레 물들어 가고 있다.
그렇게 서있는 시간이
저마다의 시간을 알 수 있도록
손끝에 들려주는 고요함의 말들을 새겨두고 싶다.
가을이면 꽃들의 그리움이 아름다운 곳이다
그래서 그 아름다운 날을 보내며
언젠가 나는 저 별을 만날 날이 올 거라",0.8630831241607666,0.8558570146560669,0.1369168758392334,오늘 별빛의 중심에 당신의 마음이 있어,새들의 소리도 닦아옵니다 마음이 창문을 열면 별이 그려내는 바람과 꿈의 항로는 따듯한 차 한 잔에 담겨진 가을의 의미 알 수 없음에도 깊은 생각을 가지게 합니다. 강물이 담겨지고 시냇물의 다정함 졸졸 거리며 넘치거나…
달빛 미소,달빛 미소,"이 땅 위에 존재하는 아름다운 마음
그대는 내가 되고 싶어하는 빛
나는 그대가 되어
내 곁을 떠나가려 하는 빛이여
우리 모두 행복해질 수 있는 곳일까요
아름다운 인연의 시작은 사랑이라는 걸 알게 되네요
이웃과 떨어져 살고 있는 나에겐
사랑이란, 사랑을 표현할 때 사용하는 말이고
무엇이든 할수 있기를 바라며
어느새 그대와 함께하게 된 나의 모습도 아름답다고 하더군요
달빛을 꿈꾸고 있다면
누구든 행복한 사람이 될테니까요.
나처럼 사랑하는 사람에게 사랑의",0.8626255989074707,0.8393685221672058,0.1373744010925293,아름다운 사람,"그대는 아름다운 사람 별을 사랑하고 하늘을 사랑하고 먼 곳 슬픔까지 사랑하는 그대는 아름다운 사람 아름다운 사람에게선 꽃 같은 향기가 난다 늘 곁에 있고 싶고 멀리 있으면 그리워진다 언제나 눈으로, 눈으로 사랑을 말…"
차가운 미소,차가운 미소,"달콤한 햇살 속에 잠들자
아직도 뜨거운데
얼음처럼 차가워진다
내 마음은 차갑지만
한번만 더 내 마음에 힘을 주어 보자
이렇게 맑은 봄을 열어보아요
그동안의 기억들을 뒤돌아보며서
무엇보다 사랑했던 건
나의 마음을 아껴주는 그 쉼표였어요\
사랑도 함께하는 하루하루가여. 그리하여 아름다운 가을이 온다]는
봄날의 환희로 가득한
사랑의 노래를 듣던 중
꿈은 사라지고 슬픔만이 남아 있는
가을빛들이
천년 세월을",0.8625832200050354,0.8492836952209473,0.1374167799949646,나의 가을2,바라보는 마음은 황홀하지만 언제나 긴 안타까움으로 아쉬움을 남기고 가는 가을입니다 허줄한 옷깃 사이로 쉬이 빠져나가는 이해할 수 없는 슬픔과 고통이 서늘한 삶을 기억나게 하지만 가끔은 뜨겁게 사랑할 수 있었던 지난날…
